epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.24364592134952545,2.0930542945861816,1e-04,0.2687074840068817,1.5113719701766968
1,0.25153374671936035,2.0588505268096924,1e-04,0.26530611515045166,1.5537041425704956
2,0.2664329409599304,2.0013909339904785,1e-04,0.26530611515045166,1.5686737298965454
3,0.2559158504009247,2.0141761302948,1e-04,0.261904776096344,1.617928147315979
4,0.2352430522441864,2.005316972732544,1e-04,0.2551020383834839,1.5688380002975464
5,0.2716915011405945,1.9018433094024658,1e-04,0.2687074840068817,1.581939935684204
6,0.256792277097702,1.9724187850952148,1e-04,0.2312925159931183,1.628645658493042
7,0.2638036906719208,1.9380297660827637,1e-04,0.26530611515045166,1.6899570226669312
8,0.250657320022583,1.9060053825378418,1e-04,0.2551020383834839,1.6437205076217651
9,0.2524101734161377,1.8730038404464722,1e-04,0.25170066952705383,1.6808515787124634
