iter	Passed	Remaining
168	106830	209235
169	107433	208547
170	108055	207895
171	108666	207225
172	109319	206632
173	109939	205978
174	110568	205341
175	111185	204683
176	111785	203992
177	112417	203362
178	113051	202735
179	113670	202080
180	114259	201374
181	114869	200706
182	115504	200080
183	116140	199458
184	116759	198806
185	117354	198114
186	117949	197422
187	118566	196770
188	119176	196106
189	119779	195429
190	120377	194747
191	121000	194105
192	121623	193462
193	122256	192837
194	122876	192191
195	123497	191546
196	124120	190906
197	124724	190236
198	125344	189591
199	125943	188915
200	126544	188243
201	127168	187605
202	127805	186986
203	128421	186337
204	129029	185676
205	129640	185020
206	130284	184413
207	130911	183779
208	131543	183153
209	132132	182468
210	132763	181842
211	133383	181200
212	134001	180555
213	134619	179911
214	135229	179257
215	135859	178629
216	136471	177979
217	137096	177345
218	137721	176711
219	138326	176052
220	138966	175437
221	139632	174855
222	140265	174231
223	140892	173599
224	141527	172977
225	142134	172322
226	142744	171670
227	143378	171048
228	143988	170396
229	144583	169728
230	145196	169081
231	145810	168436
232	146436	167804
233	147077	167190
234	147697	166552
235	148322	165919
236	148926	165264
237	149543	164623
238	150164	163986
239	150797	163363
240	151405	162713
241	152006	162056
242	152643	161437
243	153276	160814
244	153888	160170
245	154492	159516
246	155118	158886
247	155763	158275
248	156367	157623
249	156967	156967
250	157586	156330
251	158196	155685
252	158808	155042
253	159443	154421
254	160055	153778
255	160658	153127
256	161254	152470
257	161882	151843
258	162520	151225
259	163157	150606
260	163755	149952
261	164373	149316
262	164998	148687
263	165620	148054
264	166219	147402
265	166826	146756
266	167451	146128
267	168080	145502
268	168746	144908
269	169362	144271
270	169993	143647
271	170591	142995
272	171243	142388
273	171866	141758
274	172491	141129
275	173122	140505
276	173757	139883
277	174387	139258
278	175020	138636
279	175654	138014
280	176259	137369
281	176866	136726
282	177473	136084
283	178096	135453
284	178719	134823
285	179343	134194
286	179972	133568
287	180599	132941
288	181211	132303
289	181808	131654
290	182426	131021
291	183068	130405
292	183704	129784
293	184338	129162
294	184945	128521
295	185538	127870
296	186157	127238
297	186774	126605
298	187385	125968
299	188007	125338
300	188622	124704
301	189233	124066
302	189841	123428
303	190468	122802
304	191095	122176
305	191690	121529
306	192302	120893
307	192935	120271
308	193574	119652
309	194188	119018
310	194804	118385
311	195420	117753
312	196033	117118
313	196664	116495
314	197282	115864
315	197894	115229
316	198495	114588
317	199136	113971
318	199765	113346
319	200412	112731
320	201012	112091
321	201637	111464
322	202277	110845
323	202896	110215
324	203521	109588
325	204133	108954
326	204722	108308
327	205342	107679
328	205959	107048
329	206587	106423
330	207215	105798
331	207846	105175
332	208466	104546
333	209078	103913
334	209696	103283
335	210322	102657
336	210956	102035
337	211568	101402
338	212177	100768
339	212772	100128
340	213403	99504
341	213991	98861
342	214632	98242
343	215239	97608
344	215860	96980
345	216466	96346
346	217085	95717
347	217677	95077
348	218313	94456
349	218909	93818
350	219514	93184
351	220128	92554
352	220734	91920
353	221343	91288
354	221932	90648
355	222565	90026
356	223206	89407
357	223816	88776
358	224443	88152
359	225039	87515
360	225653	86886
361	226276	86260
362	226893	85631
363	227529	85011
364	228123	84374
365	228750	83750
366	229352	83116
367	229962	82486
368	230583	81860
369	231199	81232
370	231826	80608
371	232423	79973
372	233058	79352
373	233673	78724
374	234279	78093
375	234907	77469
376	235527	76843
377	236147	76216
378	236782	75595
379	237409	74971
380	238020	74342
381	238633	73713
382	239260	73090
383	239874	72462
384	240467	71828
385	241074	71198
386	241673	70566
387	242294	69940
388	242932	69320
389	243542	68691
390	244149	68062
391	244745	67429
392	245351	66800
393	245979	66177
394	246606	65553
395	247225	64927
396	247843	64301
397	248453	63674
398	249064	63046
399	249676	62419
400	250275	61788
401	250906	61166
402	251527	60541
403	252151	59917
404	252751	59287
405	253374	58663
406	253985	58036
407	254591	57407
408	255226	56786
409	255823	56156
410	256444	55531
411	257051	54904
412	257660	54277
413	258320	53660
414	258965	53041
415	259562	52411
416	260174	51785
417	260796	51161
418	261437	50540
419	262050	49914
420	262664	49288
421	263293	48665
422	263929	48043
423	264562	47421
424	265169	46794
425	265784	46169
426	266398	45543
427	267036	44922
428	267651	44296
429	268276	43672
430	268870	43044
431	269498	42421
432	270116	41796
433	270750	41174
434	271360	40548
435	271966	39921
436	272590	39297
437	273223	38675
438	273827	38048
439	274446	37424
440	275065	36800
441	275686	36176
442	276316	35553
443	276931	34928
444	277522	34300
445	278125	33674
446	278752	33051
447	279390	32429
448	280006	31804
449	280617	31179
450	281218	30553
451	281844	29930
452	282468	29306
453	283090	28683
454	283721	28060
455	284327	27435
456	284936	26810
457	285569	26187
458	286197	25564
459	286825	24941
460	287461	24318
461	288071	23694
462	288712	23072
463	289322	22447
464	289934	21823
465	290524	21197
466	291174	20575
467	291833	19954
468	292483	19332
469	293134	18710
470	293794	18089
471	294409	17464
472	295066	16843
473	295719	16220
474	296359	15597
475	296989	14974
476	297632	14351
477	298270	13727
478	298900	13104
479	299524	12480
480	300144	11856
481	300783	11232
482	301407	10608
483	302028	9984
484	302671	9360
485	303318	8737
486	303959	8113
487	304590	7489
488	305205	6865
489	305826	6241
490	306455	5617
491	307105	4993
492	307734	4369
493	308359	3745
494	308974	3120
495	309586	2496
496	310237	1872
497	310889	1248
498	311533	624
499	312169	0
