iter	MultiClass
232	0.4346084506
233	0.4329566797
234	0.4314656437
235	0.4294134476
236	0.4282848858
237	0.4267753183
238	0.4248709106
239	0.423146897
240	0.4213869921
241	0.4198629734
242	0.4180925105
243	0.4168719806
244	0.4152623885
245	0.4142054536
246	0.4127270563
247	0.4110580341
248	0.4093427493
249	0.4074756882
250	0.4061743899
251	0.4049376175
252	0.4031722814
253	0.4019031699
254	0.3999747026
255	0.39830334
256	0.3970026019
257	0.3955025459
258	0.3938500058
259	0.3923261776
260	0.3910451243
261	0.3897462943
262	0.3882515411
263	0.3866949369
264	0.3852856684
265	0.3836386852
266	0.3824273291
267	0.3807875552
268	0.3795945872
269	0.378395187
270	0.3771434948
271	0.3756300501
272	0.3741180276
273	0.3728127737
274	0.3716084187
275	0.3700602636
276	0.3685650193
277	0.367097377
278	0.3656571138
279	0.3642720221
280	0.3626366208
281	0.3612864906
282	0.359781055
283	0.3583582788
284	0.3571239458
285	0.3558751636
286	0.3549208145
287	0.353901687
288	0.3525031394
289	0.3518574018
290	0.3502343219
291	0.3490669832
292	0.3477533931
293	0.3467465124
294	0.3455169792
295	0.3443489217
296	0.34292499
297	0.3415869354
298	0.3407119597
299	0.3396847021
300	0.3387178414
301	0.3377081203
302	0.3365665798
303	0.3352413984
304	0.3338221591
305	0.3326939363
306	0.3312812147
307	0.3300602501
308	0.3287473731
309	0.3277922058
310	0.3265481254
311	0.3255616656
312	0.3242756489
313	0.323012509
314	0.322019787
315	0.3207406125
316	0.3196613964
317	0.3185597125
318	0.317349565
319	0.3160728024
320	0.3151238209
321	0.3140104875
322	0.313022412
323	0.3117456024
324	0.3108698704
325	0.3099083831
326	0.3088241237
327	0.3077874466
328	0.3065892461
329	0.3058220763
330	0.304781448
331	0.3036248065
332	0.3027162411
333	0.3016993573
334	0.3008127305
335	0.2999213174
336	0.2990324909
337	0.2980348643
338	0.297015207
339	0.2962217501
340	0.2952788319
341	0.294206396
342	0.2931066663
343	0.2923975046
344	0.2913494469
345	0.2902563779
346	0.2893672963
347	0.2884521078
348	0.2876684943
349	0.2866415374
350	0.2858598038
351	0.2847746881
352	0.2838551932
353	0.2826889458
354	0.2814778728
355	0.2804857312
356	0.2796736781
357	0.2787879104
358	0.2779532314
359	0.2769800902
360	0.2759157373
361	0.2752705059
362	0.2742745984
363	0.2732146225
364	0.2723702805
365	0.271368155
366	0.2705196589
367	0.2696045088
368	0.2687569291
369	0.26780606
370	0.2669302984
371	0.2660975447
372	0.2651264224
373	0.2641621289
374	0.2633412116
375	0.2624685683
376	0.2617364235
377	0.2608586807
378	0.2599551062
379	0.2590316558
380	0.2583394051
381	0.2575492225
382	0.2565987254
383	0.2556943146
384	0.2548081846
385	0.2542613101
386	0.2534493729
387	0.2526484932
388	0.2519363035
389	0.2510779406
390	0.2502715794
391	0.2493459002
392	0.2484809686
393	0.2475323081
394	0.2467623942
395	0.2458874406
396	0.2450680492
397	0.2442331866
398	0.2433741974
399	0.2426607818
400	0.2417032182
401	0.241039675
402	0.2403209964
403	0.2393678507
404	0.2387243753
405	0.23794344
406	0.237378901
407	0.2366582252
408	0.2360751428
409	0.2351822404
410	0.2344240941
411	0.2336754659
412	0.2329264744
413	0.2320770982
414	0.2313973759
415	0.2307384642
416	0.2299497075
417	0.229116347
418	0.2282420119
419	0.2274840044
420	0.2267508939
421	0.2261281914
422	0.2256714819
423	0.2248518137
424	0.2243060484
425	0.2236071978
426	0.2228408794
427	0.2220625112
428	0.2212921793
429	0.2204654315
430	0.2197214798
431	0.2189767776
432	0.2183335745
433	0.2177168388
434	0.217059642
435	0.2163524398
436	0.2156296136
437	0.2150882026
438	0.2144279999
439	0.2137634509
440	0.2130676039
441	0.2123910942
442	0.211683366
443	0.2110671177
444	0.2103748714
445	0.2098609092
446	0.2091951347
447	0.2084547044
448	0.2078503228
449	0.2072482209
450	0.20659596
451	0.2059869507
452	0.2053495889
453	0.204683882
454	0.2039853595
455	0.203309625
456	0.2027159237
457	0.2020350745
458	0.2014231781
459	0.200711008
460	0.2001663211
461	0.1995309284
462	0.1989498828
463	0.1984854544
464	0.1978569969
465	0.1972637341
466	0.1966123467
467	0.1960344792
468	0.1953880977
469	0.1947743026
470	0.1941223191
471	0.1935166623
472	0.1929017292
473	0.1922681672
474	0.1916902008
475	0.1910135582
476	0.1905376206
477	0.1899304318
478	0.1893936397
479	0.1888160552
480	0.1882562993
481	0.1877113361
482	0.187287977
483	0.1868166923
484	0.1862475447
485	0.1857703747
486	0.1853745416
487	0.1848116555
488	0.1841839205
489	0.1835884432
490	0.1830231271
491	0.1825985591
492	0.1820980689
493	0.1816754438
494	0.1811224574
495	0.1805359234
496	0.1800173883
497	0.1794695362
498	0.1788918023
499	0.1782867779
